Condition,Description,FK_OrderID,FK_SupplierID,ProductID,ProductName,Price,Quantity
New,Energy-efficient LED bulb,200386,500167,300031,LED Bulb,276.50,8
Used - Acceptable,Double-walled coffee mug,200433,500179,300032,Coffee Mug,2635.61,4
Used - Very Good,Versatile air fryer,200334,500032,300033,Air Fryer,303.20,13
Pre-Owned,Adjustable dumbbells set,200596,500185,300034,Dumbbells,1335.38,9
Refurbished,Classic analog wristwatch,200783,500014,300035,Analog Watch,1059.81,17
Pre-Owned,Multi-functional survival knife,200316,500058,300036,Survival Knife,2999.58,16
Used - Acceptable,Convenient portable grill,200137,500292,300037,Portable Grill,2513.83,7
Used - Like New,Efficient vacuum cleaner,200476,500178,300038,Vacuum Cleaner,113.46,12
Used - Good,Compact first aid kit,200621,500003,300039,First Aid Kit,2009.32,6
Used - Acceptable,High-definition action camera,200016,500030,300040,Action Camera,2716.84,14
New,Comfortable running shoes,200241,500071,300041,Running Shoes,1851.51,4
Used - Like New,Foldable camping chair,200232,500260,300042,Camping Chair,915.93,5
Refurbished,Noise-isolating earbuds,200140,500236,300043,Noise-Isolating Earbuds,2184.80,16
Used - Good,Advanced smartwatch,200710,500102,300044,Smartwatch,2099.06,7
Used - Like New,Stylish leather journal,200324,500195,300045,Leather Journal,1564.36,4
Certified Refurbished,Durable travel mug,200067,500270,300046,Travel Mug,1420.98,13
Refurbished,Soft plush throw blanket,200655,500045,300047,Plush Throw Blanket,1090.88,5
Used - Very Good,Elegant crystal chandelier,200785,500033,300048,Crystal Chandelier,2780.83,15
Certified Refurbished,Portable car jump starter,200602,500117,300049,Car Jump Starter,86.51,17
Used - Very Good,Heavy-duty garden hose,200424,500176,300050,Garden Hose,2738.71,2
Open Box,Adjustable desk lamp,200182,500170,300051,Desk Lamp,2746.58,15
Pre-Owned,Sophisticated perfume set,200120,500031,300052,Perfume Set,2826.19,5
Used - Very Good,Waterproof phone case,200796,500157,300053,Phone Case,1698.78,16
Used - Very Good,Ergonomic bike seat,200047,500118,300054,Bike Seat,2130.54,11
Refurbished,Minimalist wall clock,200085,500221,300055,Wall Clock,2720.91,10
Certified Refurbished,Anti-theft laptop backpack,200059,500055,300056,Laptop Backpack,2152.66,10
Used - Very Good,Precision kitchen scale,200117,500038,300057,Kitchen Scale,2415.64,1
Open Box,Premium wireless earbuds,200164,500231,300058,Wireless Earbuds,1862.75,11
Used - Very Good,High-speed blender,200079,500039,300059,Blender,1049.71,1
Pre-Owned,Versatile toolset,200582,500213,300060,Toolset,2522.79,13
New,Multi-purpose folding table,200611,500296,300061,Folding Table,498.30,11
Used - Very Good,Adjustable standing desk,200110,500178,300062,Standing Desk,820.74,13
Used - Like New,Compact sewing machine,200781,500238,300063,Sewing Machine,1894.78,6
Used - Good,Advanced hair straightener,200734,500274,300064,Hair Straightener,968.86,1
New,Multi-functional printer,200785,500030,300065,Printer,1142.65,2
Certified Refurbished,Rechargeable hand warmer,200439,500037,300066,Hand Warmer,1152.82,4
Pre-Owned,Collapsible pet carrier,200203,500012,300067,Pet Carrier,313.31,7
Open Box,Digital kitchen timer,200119,500065,300068,Kitchen Timer,2427.02,5
Used - Good,Stainless steel kitchen tongs,200385,500138,300069,Kitchen Tongs,1461.95,13
Used - Good,Lightweight sleeping bag,200795,500242,300070,Sleeping Bag,814.37,10
Open Box,Premium cast iron skillet,200415,500037,300071,Cast Iron Skillet,2386.45,16
Refurbished,Durable cargo pants,200385,500140,300072,Cargo Pants,364.54,13
Used - Acceptable,Luxurious bathrobe,200532,500084,300073,Bathrobe,574.98,19
Pre-Owned,Travel-sized toiletries kit,200609,500062,300074,Toiletries Kit,564.33,3
Certified Refurbished,Heavy-duty bike lock,200393,500100,300075,Bike Lock,896.41,18
Used - Very Good,Portable camping stove,200041,500249,300076,Camping Stove,2561.19,1
New,Advanced car vacuum cleaner,200242,500046,300077,Car Vacuum,2787.43,9
Pre-Owned,Compact coffee grinder,200246,500041,300078,Coffee Grinder,2088.52,18
Refurbished,Elegant tea set,200479,500030,300079,Tea Set,757.72,17
Refurbished,Modern smartphone stand,200746,500193,300080,Smartphone Stand,1507.01,1
Used - Acceptable,Reusable food storage bags,200581,500270,300081,Food Storage Bags,2017.53,1
Refurbished,Premium quality umbrella,200546,500199,300082,Umbrella,2930.62,14
New,Ultra-light hiking tent,200226,500287,300083,Hiking Tent,2186.09,3
Used - Good,Stylish beach hat,200389,500024,300084,Beach Hat,437.85,19
Open Box,Durable work gloves,200471,500167,300085,Work Gloves,298.12,15
Certified Refurbished,Advanced video doorbell,200066,500297,300086,Video Doorbell,2677.42,15
Pre-Owned,Space-saving shoe organizer,200647,500150,300087,Shoe Organizer,1049.43,4
Used - Like New,Portable electric kettle,200799,500086,300088,Electric Kettle,2261.28,9
Used - Good,Soft sherpa fleece blanket,200745,500234,300089,Sherpa Fleece Blanket,2247.44,18
Used - Good,Sophisticated whiskey glasses,200327,500047,300090,Whiskey Glasses,194.07,5
Used - Good,Eco-friendly reusable straws,200371,500289,300091,Reusable Straws,2297.34,4
Pre-Owned,Lightweight portable hammock,200487,500095,300092,Portable Hammock,413.56,3
Used - Acceptable,Minimalist desk organizer,200555,500071,300093,Desk Organizer,404.47,5
Used - Like New,Advanced robotic vacuum,200109,500231,300094,Robotic Vacuum,1805.10,10
Used - Very Good,Sturdy wall-mounted shelf,200339,500062,300095,Wall Shelf,2056.55,3
Used - Very Good,Portable projector,200522,500051,300096,Portable Projector,1822.76,13
Refurbished,Soft travel neck pillow,200697,500287,300097,Travel Neck Pillow,1981.98,2
Used - Very Good,Foldable picnic blanket,200537,500023,300098,Picnic Blanket,2680.30,14
Used - Very Good,Digital meat thermometer,200167,500104,300099,Meat Thermometer,1346.15,16
Pre-Owned,Rechargeable book light,200044,500083,300100,Book Light,1797.10,8
Refurbished,Elegant leather handbag,200748,500132,300101,Leather Handbag,2062.60,2
New,Durable hiking boots,200409,500127,300102,Hiking Boots,1100.29,3
Pre-Owned,Comfortable wool socks,200479,500117,300103,Wool Socks,742.50,1
Certified Refurbished,Stylish denim jacket,200015,500188,300104,Denim Jacket,2988.95,12
Used - Good,Compact photo printer,200630,500205,300105,Photo Printer,622.93,18
Used - Good,Adjustable resistance bands,200037,500187,300106,Resistance Bands,1969.49,19
Pre-Owned,Premium cotton duvet cover,200703,500217,300107,Cotton Duvet Cover,1217.24,19
Refurbished,Versatile multi-tool,200278,500121,300108,Multi-Tool,1592.61,20
Used - Acceptable,Modern floor lamp,200627,500289,300109,Floor Lamp,2944.60,10
Pre-Owned,Luxurious cashmere scarf,200342,500291,300110,Cashmere Scarf,375.56,6
Used - Acceptable,Portable espresso machine,200618,500056,300111,Espresso Machine,2380.70,6
Used - Like New,Waterproof action camera,200629,500293,300112,Action Camera,1974.23,17
New,Compact air purifier,200193,500258,300113,Air Purifier,403.37,11
Open Box,Durable bike helmet,200647,500197,300114,Bike Helmet,1337.13,13
Used - Good,Soft bamboo sheets,200554,500054,300115,Bamboo Sheets,699.83,16
Open Box,High-performance gym bag,200544,500173,300116,Gym Bag,980.26,17
Refurbished,Advanced hair dryer,200249,500136,300117,Hair Dryer,824.40,8
Open Box,Energy-efficient space heater,200378,500238,300118,Space Heater,676.16,11
Refurbished,Sophisticated cocktail shaker,200248,500286,300119,Cocktail Shaker,339.21,7
Pre-Owned,Eco-friendly laundry detergent,200419,500218,300120,Laundry Detergent,338.80,4
Used - Acceptable,Durable BBQ grill cover,200040,500270,300121,BBQ Grill Cover,206.54,13
Open Box,Compact spice rack,200135,500142,300122,Spice Rack,107.54,3
Used - Acceptable,Stylish patio furniture,200159,500178,300123,Patio Furniture,2959.63,2
Open Box,Premium soundbar speaker,200132,500277,300124,Soundbar,1788.92,18
New,Advanced pet grooming kit,200059,500116,300125,Pet Grooming Kit,1622.17,6
Used - Good,High-quality baby stroller,200518,500060,300126,Baby Stroller,28.30,17
Refurbished,Elegant dining table set,200687,500007,300127,Dining Table Set,447.03,11
Used - Like New,Soft organic baby blanket,200383,500006,300128,Baby Blanket,539.47,9
Used - Like New,Lightweight power drill,200662,500043,300129,Power Drill,2322.56,4
Pre-Owned,Heavy-duty dog leash,200620,500162,300130,Dog Leash,879.24,11
New,Minimalist table clock,200472,500209,300131,Table Clock,1994.28,15
Open Box,Advanced gaming keyboard,200557,500148,300132,Gaming Keyboard,1121.25,5
Used - Acceptable,Foldable treadmill,200147,500183,300133,Treadmill,431.57,15
New,Multi-functional waffle maker,200036,500005,300134,Waffle Maker,1634.23,19
Used - Acceptable,Premium travel pillow,200692,500006,300135,Travel Pillow,453.68,19
New,Durable outdoor jacket,200465,500157,300136,Outdoor Jacket,2176.34,18
Used - Acceptable,Adjustable TV wall mount,200758,500205,300137,TV Wall Mount,2920.13,6
Refurbished,Waterproof travel bag,200046,500133,300138,Travel Bag,2257.88,14
Open Box,High-speed internet router,200623,500264,300139,Internet Router,2745.78,1
Used - Acceptable,Space-saving closet organizer,200134,500248,300140,Closet Organizer,2313.23,11
Open Box,Advanced sewing kit,200072,500103,300141,Sewing Kit,1195.54,7
Pre-Owned,Modern ergonomic sofa,200118,500040,300142,Ergonomic Sofa,1757.46,18
Used - Good,Luxurious showerhead,200795,500086,300143,Showerhead,2728.85,1
Used - Like New,Durable cooler bag,200365,500070,300144,Cooler Bag,764.68,16
Used - Like New,Elegant bathroom mirror,200337,500180,300145,Bathroom Mirror,2585.40,6
Used - Like New,Premium leather briefcase,200093,500177,300146,Leather Briefcase,1862.91,8
Refurbished,Comfortable hiking sandals,200164,500238,300147,Hiking Sandals,2065.79,20
Open Box,Soft wool blanket,200668,500055,300148,Wool Blanket,2863.91,1
Used - Acceptable,Portable massage gun,200751,500068,300149,Massage Gun,968.32,16
Used - Good,Rechargeable lantern,200597,500156,300150,Lantern,574.18,1
Used - Very Good,Sophisticated wine opener,200792,500037,300151,Wine Opener,885.72,13
New,Adjustable book stand,200342,500036,300152,Book Stand,1430.90,4
Refurbished,Premium stainless steel straws,200557,500183,300153,Stainless Steel Straws,137.06,13
New,Lightweight trekking poles,200296,500274,300154,Trekking Poles,328.04,12
New,Versatile garment steamer,200194,500281,300155,Garment Steamer,1921.49,7
Refurbished,High-quality bread machine,200721,500130,300156,Bread Machine,847.45,9
Pre-Owned,Durable camping table,200207,500039,300157,Camping Table,710.55,4
Used - Acceptable,Elegant table lamp,200362,500173,300158,Table Lamp,2099.90,12
Used - Very Good,Portable laptop desk,200176,500004,300159,Laptop Desk,2511.07,3
Used - Very Good,Premium pet bed,200533,500206,300160,Pet Bed,1183.80,1
Used - Acceptable,Soft weighted blanket,200256,500011,300161,Weighted Blanket,1107.93,9
Used - Acceptable,Compact portable fan,200588,500222,300162,Portable Fan,20.80,5
Refurbished,Waterproof Bluetooth speaker,200771,500100,300163,Bluetooth Speaker,426.04,16
Open Box,Energy-efficient air conditioner,200796,500050,300164,Air Conditioner,1423.92,4
Used - Acceptable,Minimalist bedside table,200755,500269,300165,Bedside Table,788.04,6
Certified Refurbished,Adjustable bed frame,200575,500174,300166,Bed Frame,1308.96,5
Used - Very Good,Space-saving laundry basket,200739,500037,300167,Laundry Basket,1765.85,4
Certified Refurbished,Advanced power inverter,200674,500077,300168,Power Inverter,886.16,20
Open Box,Heavy-duty snow shovel,200050,500200,300169,Snow Shovel,1214.68,9
Open Box,Comfortable sleeping pad,200077,500008,300170,Sleeping Pad,397.65,2
New,Luxurious face moisturizer,200099,500192,300171,Face Moisturizer,2665.02,2
Used - Acceptable,Versatile folding bike,200530,500246,300172,Folding Bike,1769.83,20
Used - Good,High-quality juicer,200476,500093,300173,Juicer,1038.01,20
Certified Refurbished,Stylish leather phone case,200062,500253,300174,Phone Case,2196.08,13
Used - Like New,Compact makeup mirror,200509,500285,300175,Makeup Mirror,70.41,4
Used - Like New,Durable hiking backpack,200388,500204,300176,Hiking Backpack,1974.09,5
New,Lightweight garden pruner,200516,500255,300177,Garden Pruner,2624.74,6
Used - Very Good,Advanced home security camera,200746,500164,300178,Home Security Camera,686.46,7
Pre-Owned,Minimalist floating shelf,200608,500193,300179,Floating Shelf,2087.38,5
Used - Acceptable,Premium smart thermostat,200232,500136,300180,Smart Thermostat,670.32,20
Refurbished,Soft merino wool sweater,200237,500006,300181,Wool Sweater,2404.19,12
Refurbished,Portable induction cooktop,200586,500264,300182,Induction Cooktop,1277.84,16
Refurbished,Adjustable baby carrier,200530,500104,300183,Baby Carrier,2826.34,20
Used - Acceptable,Stylish leather belt,200392,500092,300184,Leather Belt,539.39,15
Used - Good,Rechargeable hand blender,200526,500067,300185,Hand Blender,1203.25,16
New,Durable running shoes,200446,500147,300186,Running Shoes,1729.02,4
Open Box,Waterproof camera case,200226,500146,300187,Camera Case,1589.36,19
Used - Acceptable,Elegant crystal wine glasses,200580,500121,300188,Crystal Wine Glasses,930.51,1
Used - Like New,Comfortable bean bag chair,200778,500210,300189,Bean Bag Chair,2053.34,1
Refurbished,Sophisticated dinnerware set,200303,500139,300190,Dinnerware Set,2972.28,19
Open Box,Compact tool organizer,200568,500116,300191,Tool Organizer,2463.16,4
Certified Refurbished,High-speed electric scooter,200427,500087,300192,Electric Scooter,1517.65,3
Pre-Owned,Advanced programmable coffee maker,200342,500170,300193,Coffee Maker,937.38,1
Refurbished,Premium glass storage containers,200023,500177,300194,Storage Containers,1062.02,3
Certified Refurbished,Lightweight travel backpack,200701,500205,300195,Travel Backpack,2642.66,15
New,Minimalist desktop clock,200528,500206,300196,Desktop Clock,298.83,3
Refurbished,Foldable yoga mat,200514,500024,300197,Yoga Mat,2149.18,1
Used - Very Good,Durable camping tent,200511,500023,300198,Camping Tent,2960.54,6
Open Box,Portable solar charger,200012,500243,300199,Solar Charger,1600.17,18
Open Box,Soft flannel sheets,200075,500046,300200,Flannel Sheets,1120.80,13
Used - Good,Adjustable shower caddy,200095,500122,300201,Shower Caddy,2578.08,13
Used - Very Good,Heavy-duty storage box,200187,500234,300202,Storage Box,2323.30,5
Certified Refurbished,Stylish wool fedora,200694,500167,300203,Wool Fedora,2998.03,20
Certified Refurbished,High-quality garden gloves,200648,500095,300204,Garden Gloves,388.14,15
Used - Acceptable,Eco-friendly compost bin,200193,500176,300205,Compost Bin,1802.96,2
Used - Acceptable,Elegant silver bracelet,200657,500219,300206,Silver Bracelet,1041.87,14
Pre-Owned,Portable handheld vacuum,200662,500156,300207,Handheld Vacuum,265.45,20
Certified Refurbished,Waterproof bike panniers,200013,500293,300208,Bike Panniers,372.83,15
New,Comfortable lounge chair,200685,500153,300209,Lounge Chair,871.33,18
Refurbished,Premium silk pillowcase,200381,500032,300210,Silk Pillowcase,192.83,13
Used - Like New,Compact air mattress,200116,500001,300211,Air Mattress,1643.14,5
Used - Good,Versatile camping lantern,200107,500299,300212,Camping Lantern,1424.26,18
Used - Like New,Advanced fitness tracker,200286,500122,300213,Fitness Tracker,2996.03,8
Used - Acceptable,Durable garden rake,200273,500124,300214,Garden Rake,2224.21,4
Used - Like New,Modern home theater system,200635,500203,300215,Home Theater System,2933.06,1
Used - Like New,Lightweight utility cart,200428,500175,300216,Utility Cart,1504.67,14
Open Box,Adjustable pet gate,200630,500103,300217,Pet Gate,1769.56,16
Pre-Owned,Elegant pearl necklace,200232,500073,300218,Pearl Necklace,895.82,13
New,High-speed USB hub,200355,500078,300219,USB Hub,2565.42,4
Pre-Owned,Premium Bluetooth soundbar,200638,500147,300220,Bluetooth Soundbar,2718.81,12
Used - Acceptable,Stylish leather gloves,200472,500016,300221,Leather Gloves,603.18,14
Open Box,Heavy-duty extension cord,200634,500059,300222,Extension Cord,2378.40,14
New,Portable picnic cooler,200135,500240,300223,Picnic Cooler,626.18,16
Certified Refurbished,Sophisticated travel wallet,200531,500103,300224,Travel Wallet,2928.58,14
New,Lightweight stroller,200031,500123,300225,Stroller,807.85,10
Used - Acceptable,Durable pet playpen,200647,500024,300226,Pet Playpen,329.79,20
Used - Very Good,Compact tool belt,200512,500062,300227,Tool Belt,1666.73,13
Used - Acceptable,Luxurious facial cleanser,200218,500242,300228,Facial Cleanser,2320.93,11
Pre-Owned,Waterproof hiking shoes,200724,500264,300229,Hiking Shoes,813.16,11
Used - Like New,Space-saving drying rack,200681,500255,300230,Drying Rack,1051.57,11
New,Advanced smart door lock,200584,500267,300231,Smart Door Lock,2994.99,20
Used - Acceptable,Soft hypoallergenic comforter,200625,500227,300232,Comforter,2859.28,3
Used - Very Good,Portable water filter,200082,500018,300233,Water Filter,1764.62,12
Open Box,High-quality dog bed,200317,500179,300234,Dog Bed,733.61,5
Certified Refurbished,Modern cordless vacuum,200013,500285,300235,Cordless Vacuum,1202.43,3
New,Comfortable walking shoes,200007,500270,300236,Walking Shoes,561.43,9
Pre-Owned,Elegant copper cookware,200242,500294,300237,Copper Cookware,2955.54,19
Pre-Owned,Minimalist photo frame,200691,500232,300238,Photo Frame,611.29,10
Used - Very Good,Durable weatherproof jacket,200396,500259,300239,Weatherproof Jacket,2721.50,8
Used - Like New,Versatile multi-cooker,200759,500280,300240,Multi-Cooker,453.98,20
Open Box,Adjustable dumbbell set,200062,500212,300241,Dumbbell Set,2410.37,13
Used - Very Good,Premium herbal tea sampler,200529,500056,300242,Herbal Tea Sampler,1051.05,8
New,Stylish ceramic flower pot,200772,500169,300243,Ceramic Flower Pot,294.08,12
Used - Acceptable,Compact gaming monitor,200323,500161,300244,Gaming Monitor,126.80,12
Certified Refurbished,Lightweight workout leggings,200400,500117,300245,Workout Leggings,1831.70,12
Certified Refurbished,Foldable laundry hamper,200311,500133,300246,Laundry Hamper,3.38,5
Used - Like New,Advanced gaming headset,200528,500008,300247,Gaming Headset,1754.98,6
Used - Like New,Heavy-duty pressure washer,200670,500031,300248,Pressure Washer,1336.84,4
Pre-Owned,Comfortable armchair,200298,500134,300249,Armchair,1307.17,8
Used - Good,Sophisticated home decor set,200180,500118,300250,Home Decor Set,135.74,18
Used - Like New,Portable air compressor,200253,500245,300251,Air Compressor,1250.11,16
New,Premium hot sauce collection,200372,500251,300252,Hot Sauce Collection,1743.69,3
Certified Refurbished,Durable bike repair kit,200509,500209,300253,Bike Repair Kit,2666.78,17
Used - Acceptable,Modern digital picture frame,200397,500026,300254,Digital Picture Frame,1818.07,5
Refurbished,Waterproof dry bag,200076,500068,300255,Dry Bag,2105.65,16
Used - Like New,High-speed travel charger,200103,500233,300256,Travel Charger,2704.61,5
Used - Good,Minimalist bedside organizer,200783,500226,300257,Bedside Organizer,953.97,10
Used - Like New,Lightweight portable canopy,200090,500165,300258,Portable Canopy,205.95,19
Used - Very Good,Adjustable storage shelving,200588,500064,300259,Storage Shelving,2461.41,18
Used - Like New,Eco-friendly glass water bottle,200242,500018,300260,Glass Water Bottle,951.59,16
Used - Acceptable,Sophisticated cocktail mixer,200036,500050,300261,Cocktail Mixer,1968.86,4
Used - Like New,Compact shoe rack,200543,500104,300262,Shoe Rack,2155.39,10
Pre-Owned,Heavy-duty power washer,200455,500089,300263,Power Washer,1179.63,14
Certified Refurbished,Durable garden kneeler,200666,500050,300264,Garden Kneeler,1143.03,9
Used - Acceptable,Stylish winter coat,200526,500084,300265,Winter Coat,1298.29,9
Certified Refurbished,High-quality leather wallet,200339,500260,300266,Leather Wallet,752.14,3
Used - Very Good,Durable hiking backpack,200261,500211,300267,Hiking Backpack,1171.08,6
New,Noise-cancelling headphones,200241,500115,300268,Noise-Cancelling Headphones,345.00,4
Used - Acceptable,Soft cotton T-shirt,200613,500284,300269,Cotton T-Shirt,2289.76,7
Pre-Owned,Sleek stainless steel water bottle,200678,500233,300270,Stainless Steel Water Bottle,1049.08,11
Certified Refurbished,Compact Bluetooth speaker,200764,500139,300271,Bluetooth Speaker,2606.30,6
Used - Like New,Lightweight travel suitcase,200462,500012,300272,Travel Suitcase,1722.44,12
New,Premium organic coffee beans,200521,500008,300273,Organic Coffee Beans,2841.65,2
Used - Like New,Comfortable memory foam pillow,200426,500223,300274,Memory Foam Pillow,2610.18,13
New,Stylish wooden sunglasses,200696,500270,300275,Wooden Sunglasses,947.88,9
Certified Refurbished,Portable power bank,200333,500153,300276,Portable Power Bank,743.78,5
Open Box,Ultra-soft bath towel,200215,500071,300277,Bath Towel,2588.41,11
New,Elegant ceramic vase,200003,500214,300278,Ceramic Vase,945.52,10
Used - Very Good,Adjustable laptop stand,200268,500228,300279,Laptop Stand,2950.14,12
Refurbished,Versatile chef’s knife,200753,500057,300280,Chef’s Knife,2596.78,7
Used - Like New,Compact digital camera,200514,500184,300281,Digital Camera,2882.66,14
Refurbished,Durable stainless steel frying pan,200379,500246,300282,Stainless Steel Frying Pan,316.14,2
Refurbished,Eco-friendly bamboo toothbrush,200428,500069,300283,Bamboo Toothbrush,1657.81,13
Certified Refurbished,High-performance gaming mouse,200614,500118,300284,Gaming Mouse,2578.19,5
Used - Good,Ergonomic office chair,200103,500115,300285,Office Chair,712.64,14
Used - Good,Luxurious silk bedsheets,200767,500007,300286,Silk Bedsheets,2310.03,10
Used - Very Good,Heavy-duty toolbox,200541,500289,300287,Toolbox,45.14,5
Certified Refurbished,Rechargeable LED flashlight,200084,500151,300288,LED Flashlight,636.94,4
New,Modern minimalist watch,200703,500294,300289,Minimalist Watch,300.73,14
Used - Good,Wireless charging pad,200037,500236,300290,Wireless Charging Pad,977.76,12
Used - Good,Durable yoga mat,200102,500089,300291,Yoga Mat,187.15,15
Refurbished,Trendy canvas tote bag,200213,500252,300292,Canvas Tote Bag,1407.01,20
Refurbished,Waterproof fitness tracker,200512,500156,300293,Fitness Tracker,2561.41,8
Used - Like New,High-speed external hard drive,200399,500084,300294,External Hard Drive,1508.73,14
Used - Very Good,Elegant wine decanter,200618,500282,300295,Wine Decanter,1574.90,14
New,Advanced electric toothbrush,200077,500264,300296,Electric Toothbrush,864.97,4
Used - Very Good,Energy-efficient LED bulb,200381,500285,300297,LED Bulb,2445.79,1
New,Double-walled coffee mug,200230,500270,300298,Coffee Mug,696.60,2
Certified Refurbished,Versatile air fryer,200776,500015,300299,Air Fryer,644.12,20
Open Box,Adjustable dumbbells set,200580,500027,300300,Dumbbells,197.98,10
Used - Very Good,Classic analog wristwatch,200648,500282,300301,Analog Watch,404.40,17
Used - Like New,Multi-functional survival knife,200660,500059,300302,Survival Knife,1724.72,9
Certified Refurbished,Convenient portable grill,200327,500047,300303,Portable Grill,2736.31,2
Used - Very Good,Efficient vacuum cleaner,200276,500097,300304,Vacuum Cleaner,2902.86,4
New,Compact first aid kit,200095,500299,300305,First Aid Kit,838.85,11
Refurbished,High-definition action camera,200035,500118,300306,Action Camera,2862.49,2
Pre-Owned,Comfortable running shoes,200602,500255,300307,Running Shoes,510.11,20
Used - Like New,Foldable camping chair,200499,500256,300308,Camping Chair,2947.88,13
Refurbished,Noise-isolating earbuds,200415,500026,300309,Noise-Isolating Earbuds,1794.41,2
Used - Acceptable,Advanced smartwatch,200584,500041,300310,Smartwatch,2597.75,2
Used - Like New,Stylish leather journal,200651,500072,300311,Leather Journal,572.29,2
Used - Very Good,Durable travel mug,200673,500027,300312,Travel Mug,1852.19,20
Used - Like New,Soft plush throw blanket,200251,500014,300313,Plush Throw Blanket,2466.84,5
Open Box,Elegant crystal chandelier,200129,500168,300314,Crystal Chandelier,2743.93,6
Used - Very Good,Portable car jump starter,200268,500155,300315,Car Jump Starter,747.41,4
Used - Acceptable,Heavy-duty garden hose,200195,500159,300316,Garden Hose,700.27,20
Used - Very Good,Adjustable desk lamp,200365,500029,300317,Desk Lamp,2178.13,13
Used - Very Good,Sophisticated perfume set,200308,500147,300318,Perfume Set,1342.74,20
Used - Acceptable,Waterproof phone case,200322,500114,300319,Phone Case,237.37,5
Refurbished,Ergonomic bike seat,200365,500144,300320,Bike Seat,1945.74,16
Used - Acceptable,Minimalist wall clock,200114,500258,300321,Wall Clock,2277.44,12
Used - Acceptable,Anti-theft laptop backpack,200738,500168,300322,Laptop Backpack,140.52,6
Pre-Owned,Precision kitchen scale,200701,500126,300323,Kitchen Scale,2371.56,20
Open Box,Premium wireless earbuds,200643,500222,300324,Wireless Earbuds,1789.22,19
Certified Refurbished,High-speed blender,200535,500136,300325,Blender,1983.91,20
Used - Very Good,Versatile toolset,200709,500113,300326,Toolset,2821.30,16
Pre-Owned,Multi-purpose folding table,200004,500028,300327,Folding Table,1173.01,11
Used - Acceptable,Adjustable standing desk,200426,500086,300328,Standing Desk,1012.06,20
Certified Refurbished,Compact sewing machine,200147,500297,300329,Sewing Machine,981.41,3
Certified Refurbished,Advanced hair straightener,200242,500006,300330,Hair Straightener,803.35,9
Pre-Owned,Multi-functional printer,200560,500271,300331,Printer,984.10,18
Refurbished,Rechargeable hand warmer,200123,500010,300332,Hand Warmer,1275.30,12
Used - Good,Collapsible pet carrier,200596,500259,300333,Pet Carrier,1258.31,12
Used - Good,Digital kitchen timer,200350,500052,300334,Kitchen Timer,481.16,2
Pre-Owned,Stainless steel kitchen tongs,200315,500162,300335,Kitchen Tongs,452.31,7
